SEX,STATUS,QUALIFICATIONS,EMPLOYER,LEVEL
F,A,"S BUSINESS, S ECONOMICS, CROSS-SECTOR SEC - PRI PRIMARY",O,M
M,A,"S CHEMISTRY, S PRIMARY SCHOOL - CHEMISTRY",,M
F,A,"S CHEMISTRY, S SASN",N,M
F,A,"S CHINESE, 3-18 TESOL",O,M
M,A,"S COMMUNITY LANGUAGES - ARABIC, S FRENCH, F, 3-18 TESOL",O,M
F,A,"S COMMUNITY LANGUAGES - URDU, P",,M
M,A,"S COMPUTING, F",F,M
M,A,"S COMPUTING, S ECONOMICS, P",,M
F,A,"S COMPUTING, S MATHS, S PHYSICS, CROSS-SECTOR SEC - PRI PRIMARY, S TECH",O,M
F,A,"S DANCE, P",,M
F,A,"S DRAMA, CROSS-SECTOR SEC - PRI PRIMARY",N,M
F,A,"S DRAMA, S ENGLISH, 3-18 TESOL",O,M
F,A,"S DRAMA, S ENGLISH, F",F,M
F,A,"S ECONOMICS, P",O,M
F,A,"S ECONOMICS, S ENGLISH, P",,M
F,A,"S ENGLISH, 3-18 TESOL",L,M
F,A,"S ENGLISH, F",F,M
F,A,"S ENGLISH, F",O,M
F,A,"S ENGLISH, F, S HISTORY",F,M
F,A,"S ENGLISH, F, S HISTORY, S MODERN STUDIES",F,M
F,A,"S ENGLISH, F, S RE",F,M
F,A,"S ENGLISH, P",L,M
F,A,"S ENGLISH, P",O,M
F,A,"S ENGLISH, P",,M
M,A,"S ENGLISH, P",,M
F,A,"S ENGLISH, S FRENCH, S PRIMARY SCHOOL - FRENCH",,M
F,A,"S ENGLISH, S FRENCH, S SPANISH, 3-18 TESOL",L,M
M,A,"S ENGLISH, S FRENCH, S SSFL",L,M
F,A,"S ENGLISH, S SSEN",O,M
M,A,"S FRENCH, F, S GERMAN",F,M
F,A,"S FRENCH, S GERMAN, P",N,M
F,A,"S FRENCH, S SPANISH, 3-18 TESOL",O,M
F,A,"S FRENCH, S SPANISH, 3-18 TESOL",,M
F,A,"S FRENCH, S SPANISH, 3-18 TESOL",,M
F,A,"S GEOGRAPHY, P",L,M
F,A,"S GEOGRAPHY, P",L,M
F,A,"S GERMAN, F, S RUSSIAN",F,M
F,A,"S GERMAN, S RUSSIAN, 3-18 TESOL",,M
F,A,"S HE, P",,M
F,A,"S HISTORY, 3-18 TESOL",O,M
M,A,"S HISTORY, 3-18 TESOL",,M
F,A,"S HISTORY, P",,M
F,A,"S HISTORY, P",,M
F,A,"S HISTORY, P, S RE",,M
M,A,"S MATHS, F",O,M
F,A,"S MATHS, P",O,M
F,A,"S MATHS, S SSEN",L,M
M,A,"S MODERN STUDIES, F, S SOCIOLOGY",O,M
M,A,"S MUSIC, P",N,M
M,A,"S MUSIC, P",,M
F,A,"S MUSIC, P, PMUSIC",,M
F,A,"S MUSIC, PMUSIC",,M
F,A,"S MUSIC, S PRIMARY SCHOOL - MUSIC",,M
F,A,"S OUTDOOR EDUCATION, F",,M
F,A,"S PE, P",L,M
F,A,"S PE, P",N,M
F,A,"S PE, P",,M
F,A,"S RUSSIAN, 3-18 TESOL",,M
F,A,"TRANSITION PRIMARY - SECONDARY PE, P, PPE",O,M
F,A,P,F,P
F,A,P,F,P
F,A,P,F,P
F,A,P,F,P
F,A,P,F,P
F,A,P,F,P
F,A,P,F,P
F,A,P,F,P
F,A,P,F,P
F,A,P,F,P
F,A,P,F,P
M,A,P,F,P
M,A,P,F,P
M,A,P,F,P
F,A,P,I,P
F,A,P,I,P
F,A,P,I,P
F,A,P,I,P
F,A,P,I,P
F,A,P,I,P
F,A,P,I,P
F,A,P,I,P
F,A,P,I,P
F,A,P,I,P
F,A,P,I,P
F,A,P,I,P
F,A,P,I,P
F,A,P,I,P
F,A,P,I,P
F,A,P,I,P
F,A,P,I,P
F,A,P,I,P
F,A,P,I,P
F,A,P,I,P
F,A,P,I,P
F,A,P,I,P
M,A,P,I,P
M,A,P,I,P
M,A,P,I,P
M,A,P,I,P
M,A,P,I,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
F,A,P,L,P
M,A,P,L,P
M,A,P,L,P
M,A,P,L,P
M,A,P,L,P
M,A,P,L,P
M,A,P,L,P
M,A,P,L,P
M,A,P,L,P
M,A,P,L,P
M,A,P,L,P
M,A,P,L,P
M,A,P,L,P
M,A,P,L,P
M,A,P,L,P
M,A,P,L,P
M,A,P,L,P
M,A,P,L,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
F,A,P,N,P
M,A,P,N,P
M,A,P,N,P
M,A,P,N,P
M,A,P,N,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
F,A,P,O,P
M,A,P,O,P
M,A,P,O,P
M,A,P,O,P
M,A,P,O,P
M,A,P,O,P
M,A,P,O,P
M,A,P,O,P
M,A,P,O,P
M,A,P,O,P
M,A,P,O,P
M,A,P,O,P
M,A,P,O,P
M,A,P,O,P
M,A,P,O,P
M,A,P,O,P
M,A,P,O,P
M,A,P,O,P
M,A,P,O,P
M,A,P,O,P
M,A,P,O,P
M,A,P,O,P
M,A,P,O,P
M,A,P,O,P
M,A,P,O,P
M,A,P,O,P
M,A,P,O,P
M,A,P,O,P
M,A,P,O,P
M,A,P,O,P
M,A,P,O,P
M,A,P,O,P
M,A,P,O,P
M,A,P,O,P
M,A,P,O,P
M,A,P,O,P
M,A,P,O,P
M,A,P,O,P
M,A,P,O,P
M,A,P,O,P
M,A,P,O,P
M,A,P,O,P
M,A,P,O,P
M,A,P,O,P
M,A,P,O,P
M,A,P,O,P
M,A,P,O,P
M,A,P,O,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
F,A,P,,P
M,A,P,,P
M,A,P,,P
M,A,P,,P
M,A,P,,P
M,A,P,,P
M,A,P,,P
M,A,P,,P
M,A,P,,P
M,A,P,,P
M,A,P,,P
M,A,P,,P
M,A,P,,P
M,A,P,,P
M,A,P,,P
M,A,P,,P
M,A,P,,P
M,A,P,,P
M,A,P,,P
M,A,P,,P
M,A,P,,P
M,A,P,,P
M,A,P,,P
M,A,P,,P
M,A,P,,P
M,A,P,,P
M,A,P,,P
F,A,"TRANSITION PRIMARY - SECONDARY MATHS, P",,P
F,A,S ART,I,S
F,A,S ART,I,S
M,A,S ART,I,S
F,A,S ART,L,S
F,A,S ART,L,S
F,A,S ART,L,S
F,A,S ART,N,S
F,A,S ART,N,S
F,A,S ART,N,S
M,A,S ART,N,S
M,A,S ART,O,S
M,A,S ART,,S
M,A,S ART,,S
M,A,S ART,,S
F,A,S ART & DESIGN,F,S
F,A,S ART & DESIGN,I,S
M,A,S ART & DESIGN,I,S
F,A,S ART & DESIGN,L,S
F,A,S ART & DESIGN,L,S
F,A,S ART & DESIGN,L,S
F,A,S ART & DESIGN,L,S
F,A,S ART & DESIGN,L,S
F,A,S ART & DESIGN,L,S
F,A,S ART & DESIGN,L,S
F,A,S ART & DESIGN,L,S
F,A,S ART & DESIGN,L,S
M,A,S ART & DESIGN,L,S
M,A,S ART & DESIGN,L,S
M,A,S ART & DESIGN,L,S
F,A,S ART & DESIGN,N,S
F,A,S ART & DESIGN,N,S
F,A,S ART & DESIGN,O,S
F,A,S ART & DESIGN,O,S
F,A,S ART & DESIGN,O,S
F,A,S ART & DESIGN,O,S
F,A,S ART & DESIGN,O,S
F,A,S ART & DESIGN,O,S
F,A,S ART & DESIGN,O,S
F,A,S ART & DESIGN,O,S
F,A,S ART & DESIGN,,S
F,A,S ART & DESIGN,,S
F,A,S ART & DESIGN,,S
F,A,S ART & DESIGN,,S
F,A,S ART & DESIGN,,S
F,A,S ART & DESIGN,,S
M,A,S ART & DESIGN,,S
M,A,S ART & DESIGN,,S
F,A,"S ART & DESIGN, S TECH",O,S
F,A,S BIOLOGY,F,S
F,A,S BIOLOGY,I,S
F,A,S BIOLOGY,L,S
M,A,S BIOLOGY,L,S
M,A,S BIOLOGY,L,S
F,A,S BIOLOGY,N,S
F,A,S BIOLOGY,N,S
F,A,S BIOLOGY,N,S
F,A,S BIOLOGY,N,S
M,A,S BIOLOGY,N,S
F,A,S BIOLOGY,O,S
M,A,S BIOLOGY,O,S
M,A,S BIOLOGY,O,S
M,A,S BIOLOGY,O,S
M,A,S BIOLOGY,O,S
F,A,S BIOLOGY,,S
F,A,S BIOLOGY,,S
F,A,S BIOLOGY,,S
F,A,S BIOLOGY,,S
F,A,S BIOLOGY,,S
M,A,S BIOLOGY,,S
F,A,"S BIOLOGY, S CHEMISTRY",N,S
M,A,"S BIOLOGY, S CHEMISTRY",N,S
F,A,"S BIOLOGY, S CHEMISTRY",O,S
F,A,"S BIOLOGY, S CHEMISTRY",O,S
F,A,"S BIOLOGY, S CHEMISTRY",O,S
M,A,"S BIOLOGY, S CHEMISTRY",O,S
F,A,"S BIOLOGY, S CHEMISTRY",,S
F,A,"S BIOLOGY, S CHEMISTRY",,S
M,A,"S BIOLOGY, S CHEMISTRY",,S
M,A,"S BIOLOGY, S CHEMISTRY",,S
F,A,"S BIOLOGY, S CHEMISTRY, S MATHS, S PHYSICS",O,S
F,A,"S BIOLOGY, S CHEMISTRY, S SCIENCE GENERAL",F,S
F,A,"S BIOLOGY, S CHEMISTRY, S SCIENCE GENERAL",L,S
F,A,"S BIOLOGY, S CHEMISTRY, S SCIENCE GENERAL",L,S
M,A,"S BIOLOGY, S CHEMISTRY, S SCIENCE GENERAL",L,S
M,A,"S BIOLOGY, S CHEMISTRY, S SCIENCE GENERAL",L,S
F,A,"S BIOLOGY, S CHEMISTRY, S SCIENCE GENERAL",O,S
F,A,"S BIOLOGY, S CHEMISTRY, S SCIENCE GENERAL",O,S
M,A,"S BIOLOGY, S CHEMISTRY, S SCIENCE GENERAL",O,S
F,A,"S BIOLOGY, S COMMUNITY LANGUAGES - URDU",O,S
M,A,"S BIOLOGY, S COMPUTING",O,S
M,A,"S BIOLOGY, S COMPUTING",,S
M,A,"S BIOLOGY, S GEOGRAPHY",L,S
M,A,"S BIOLOGY, S GEOGRAPHY, S RUSSIAN",,S
F,A,"S BIOLOGY, S GEOGRAPHY, S SCIENCE GENERAL",L,S
F,A,"S BIOLOGY, S HE, S SCIENCE GENERAL",,S
M,A,"S BIOLOGY, S MATHS",O,S
F,A,"S BIOLOGY, S MATHS, S SCIENCE GENERAL",L,S
F,A,"S BIOLOGY, S MATHS, S TECH",N,S
M,A,"S BIOLOGY, S OUTDOOR EDUCATION",F,S
M,A,"S BIOLOGY, S PSYCHOLOGY",O,S
M,A,"S BIOLOGY, S SCIENCE GENERAL",I,S
F,A,"S BIOLOGY, S SCIENCE GENERAL",L,S
F,A,"S BIOLOGY, S SCIENCE GENERAL",L,S
F,A,"S BIOLOGY, S SCIENCE GENERAL",L,S
M,A,"S BIOLOGY, S SCIENCE GENERAL",L,S
F,A,"S BIOLOGY, S SCIENCE GENERAL",N,S
F,A,"S BIOLOGY, S SCIENCE GENERAL",O,S
F,A,"S BIOLOGY, S SCIENCE GENERAL",O,S
M,A,"S BIOLOGY, S SCIENCE GENERAL",O,S
